[RTREE] This is node 3 at depth: 4, the bounding box is (-74.329,9.22042), (-74.329,9.22042), leaf: 0, edge: 1
[RTREE] This is node 13 at depth: 4, the bounding box is (-72.6774,51.4765), (-72.6774,51.4765), leaf: 0, edge: 1
[RTREE] This is node 32 at depth: 4, the bounding box is (-97.9083,94.7656), (-97.9083,94.7656), leaf: 0, edge: 1
[RTREE] This is node 82 at depth: 4, the bounding box is (-94.2674,98.2742), (-94.2674,98.2742), leaf: 0, edge: 1
[RTREE] This is node 18 at depth: 3, the bounding box is (-97.9083,9.22042), (-72.6774,98.2742), leaf: 1, edge: 0
[RTREE] This is node 39 at depth: 4, the bounding box is (-40.7663,35.3426), (-40.7663,35.3426), leaf: 0, edge: 1
[RTREE] This is node 48 at depth: 4, the bounding box is (-22.3547,-13.3054), (-22.3547,-13.3054), leaf: 0, edge: 1
[RTREE] This is node 67 at depth: 4, the bounding box is (-41.0603,-12.8782), (-41.0603,-12.8782), leaf: 0, edge: 1
[RTREE] This is node 91 at depth: 4, the bounding box is (-16.0157,-3.01056), (-16.0157,-3.01056), leaf: 0, edge: 1
[RTREE] This is node 109 at depth: 4, the bounding box is (-24.5598,48.842), (-24.5598,48.842), leaf: 0, edge: 1
[RTREE] This is node 0 at depth: 3, the bounding box is (-41.0603,-13.3054), (-16.0157,48.842), leaf: 1, edge: 0
[RTREE] This is node 81 at depth: 4, the bounding box is (-50.8368,93.1508), (-50.8368,93.1508), leaf: 0, edge: 1
[RTREE] This is node 17 at depth: 4, the bounding box is (-48.047,56.6144), (-48.047,56.6144), leaf: 0, edge: 1
[RTREE] This is node 89 at depth: 4, the bounding box is (-75.1952,0.535863), (-75.1952,0.535863), leaf: 0, edge: 1
[RTREE] This is node 96 at depth: 4, the bounding box is (-46.0684,45.0921), (-46.0684,45.0921), leaf: 0, edge: 1
[RTREE] This is node 49 at depth: 3, the bounding box is (-75.1952,0.535863), (-46.0684,93.1508), leaf: 1, edge: 0
[RTREE] This is node 46 at depth: 4, the bounding box is (-74.1162,-23.1692), (-74.1162,-23.1692), leaf: 0, edge: 1
[RTREE] This is node 10 at depth: 4, the bounding box is (-60.3559,-14.4206), (-60.3559,-14.4206), leaf: 0, edge: 1
[RTREE] This is node 92 at depth: 3, the bounding box is (-74.1162,-23.1692), (-60.3559,-14.4206), leaf: 1, edge: 0
[RTREE] This is node 59 at depth: 4, the bounding box is (-77.7238,-6.53547), (-77.7238,-6.53547), leaf: 0, edge: 1
[RTREE] This is node 19 at depth: 4, the bounding box is (-45.799,-8.33267), (-45.799,-8.33267), leaf: 0, edge: 1
[RTREE] This is node 97 at depth: 3, the bounding box is (-77.7238,-8.33267), (-45.799,-6.53547), leaf: 1, edge: 0
[RTREE] This is node 41 at depth: 2, the bounding box is (-97.9083,-23.1692), (-16.0157,98.2742), leaf: 0, edge: 0
[RTREE] This is node 54 at depth: 4, the bounding box is (92.3235,5.99001), (92.3235,5.99001), leaf: 0, edge: 1
[RTREE] This is node 6 at depth: 4, the bounding box is (22.8587,-2.41337), (22.8587,-2.41337), leaf: 0, edge: 1
[RTREE] This is node 98 at depth: 4, the bounding box is (-38.7437,4.86796), (-38.7437,4.86796), leaf: 0, edge: 1
[RTREE] This is node 106 at depth: 4, the bounding box is (67.7536,5.35593), (67.7536,5.35593), leaf: 0, edge: 1
[RTREE] This is node 107 at depth: 4, the bounding box is (42.1787,-0.0875995), (42.1787,-0.0875995), leaf: 0, edge: 1
[RTREE] This is node 53 at depth: 3, the bounding box is (-38.7437,-2.41337), (92.3235,5.99001), leaf: 1, edge: 0
[RTREE] This is node 12 at depth: 4, the bounding box is (87.7006,68.1208), (87.7006,68.1208), leaf: 0, edge: 1
[RTREE] This is node 37 at depth: 4, the bounding box is (61.3756,95.3776), (61.3756,95.3776), leaf: 0, edge: 1
[RTREE] This is node 111 at depth: 4, the bounding box is (69.2002,63.9564), (69.2002,63.9564), leaf: 0, edge: 1
[RTREE] This is node 64 at depth: 3, the bounding box is (61.3756,63.9564), (87.7006,95.3776), leaf: 1, edge: 0
[RTREE] This is node 20 at depth: 4, the bounding box is (37.4989,-0.735496), (37.4989,-0.735496), leaf: 0, edge: 1
[RTREE] This is node 23 at depth: 4, the bounding box is (36.4315,41.4435), (36.4315,41.4435), leaf: 0, edge: 1
[RTREE] This is node 95 at depth: 3, the bounding box is (36.4315,-0.735496), (37.4989,41.4435), leaf: 1, edge: 0
[RTREE] This is node 84 at depth: 4, the bounding box is (70.1835,3.34516), (70.1835,3.34516), leaf: 0, edge: 1
[RTREE] This is node 5 at depth: 4, the bounding box is (7.99309,5.43734), (7.99309,5.43734), leaf: 0, edge: 1
[RTREE] This is node 99 at depth: 3, the bounding box is (7.99309,3.34516), (70.1835,5.43734), leaf: 1, edge: 0
[RTREE] This is node 87 at depth: 4, the bounding box is (-20.4991,16.1642), (-20.4991,16.1642), leaf: 0, edge: 1
[RTREE] This is node 108 at depth: 3, the bounding box is (-20.4991,16.1642), (-20.4991,16.1642), leaf: 1, edge: 0
[RTREE] This is node 8 at depth: 2, the bounding box is (-38.7437,-2.41337), (92.3235,95.3776), leaf: 0, edge: 0
